original_text,corrected_text,correction_type,is_normalization,context_hint
omega stuff,Omega-3,normalization,true,took my ashwagandha and some omega stuff
QI stat,QIAstat,normalization,true,going to take a QI stat today
lines main,Lion's Mane,normalization,true,I also took the new lines main capsule
cold easy,Cold-Eeze,normalization,true,"zinc lozenge, like the cold easy kind"
HIV,HRV,normalization,true,"My HIV tanked overnight, 38"
tutka,TUDCA,normalization,true,wants me to add tutka to the stack 250
verbarin,berberine,normalization,true,The verbarin dose change was three weeks ago
left cough,left calf,normalization,true,twitching in my left cough like a muscle
morning neck,morning NAC,normalization,true,supplements today except the morning neck
domes,DOMS,normalization,true,Expected domes is going to be real tomorrow
magnesium glycid glycinate,magnesium glycinate,normalization,true,took magnesium glycid glycinate
Sumatran pen,Sumatriptan,normalization,true,I took one Sumatran pen 50 milligram
Serrel,Cerelle,normalization,true,"I'm on Serrel, which is the mini"
Everel patch,Evorel patch,normalization,true,I'm on a low dose of HRT. The Everel patch
magnesium tyrannoate,magnesium threonate,normalization,true,magnesium tyrannoate before bed
postnatal weight vitamins,postnatal vitamins,normalization,true,Took the postnatal weight vitamins
seven C's one,Sevenseas one,normalization,true,"the seven C's one, also the iron"
Whiting scale,Withings scale,normalization,true,weight 73.8 on the Whiting scale
Libra,Libre,normalization,true,glucose on waking was 4.9 on the Libra
KCM 63,KSM-66,normalization,true,"NAC 600mg and ashwagandha, KCM 63"
dirolytes,Dioralyte,normalization,true,"electrolyte sachets, the dirolytes ones"
Ketrotide,Cetrotide,normalization,true,Gonal F 150 units and the Ketrotide
semiagglutate,semaglutide,normalization,true,adding a GLP-1 like semiagglutate
levotroxine,levothyroxine,normalization,true,I also took my levotroxine 75 milligram
Derelict,Re-Lyte,normalization,true,berberine all of that also Derelict and creatine
Nat Plus,NAD Plus,normalization,true,"had the Nat Plus infusion, the third"
regain,Rogaine,normalization,true,I haven't used the regain in like six days
side of beside,selegiline,normalization,true,as a result of the side of beside again
burpuring timing,berberine,normalization,true,the earlier burpuring timing
chronometer,Cronometer,normalization,true,please remind me to fill in chronometer
circadine,Circadin,normalization,true,I took glycine circadine and I did
cold flu twice,cold plunge twice,normalization,true,yesterday is a cold flu twice
cold lunch,cold plunge,normalization,true,we finally got the cold lunch in addition
on sale,onsen,normalization,true,then I did an on sale although
Hansen,onsen,normalization,true,cold plunge only no Hansen training
nonsense plunge,onsen plunge,normalization,true,we'll get a nonsense plunge before dinner
nonsense cold sponge,onsen cold plunge,normalization,true,yesterday I didn't want nonsense cold sponge
awful black arthritis,awful blepharitis,normalization,true,I have awful black arthritis in both
Demodex might,Demodex mites,normalization,true,if it's Demodex might so I don't
won't eat sleep,won't Eight Sleep,normalization,true,why I won't eat sleep because
viral work,viral wart,normalization,true,it's the viral work I was like what
in nocturia,nocturia,normalization,true,I don't think I had in nocturia
our fury,Oura Ring,normalization,true,deep sleep again and our fury back
knocked her,nocturia,normalization,true,I had knocked her last night
fossil lipid,phospholipid,normalization,true,pack any of the fossil lipid
violin no thing,Vielight nose thing,normalization,true,no batteries in the violin no thing
sac joint,sacroiliac joint,normalization,true,pain in what is around the area of my sac joint
had bacteria,nocturia,normalization,true,crappy HRV unfortunately of course had bacteria
H&B,HMB,normalization,true,forget the last H&B last night
ponds device,PEMF device,normalization,true,didn't do any ponds device yesterday
Hoji,Hojicha,normalization,true,I must've had let's see Hoji in the decaf
heavy,Hevy,normalization,true,didn't record it in heavy but I
All women scored nearly a five,Oura Ring scored nearly a five,normalization,true,All women scored nearly a five slept really badly
the night 25 mg,niacin 25 mg,normalization,true,I have taken the night 25 mg every single night
sordo,sourdough,normalization,true,avocado and some of the sordo that was left
lumen score,Lumen score,normalization,true,awful lumen score like 4 1/2
Cranial psychotherapist,Craniosacral therapist,normalization,true,I mean I know what you call Cranial psychotherapist
circadian routine entertainment,circadian rhythm entrainment,normalization,true,this for circadian routine entertainment
Literal site,Lateral side,normalization,true,kilometer 18 Literal site probably ITB related
cis orange,SiS orange,normalization,true,14k bought the cis orange ones
double labeled water,doubly labeled water,normalization,true,head dunk drank the double labeled water
one macho one ho Chicho one decaf coffee,one mocha one oat milk latte one decaf coffee,normalization,true,I would've had one macho one ho Chicho
