canonical,entity_type,mishearings,aliases,description,note
QIAstat,machine,"[""qi stat"", ""q stat"", ""q\u0131 stat"", ""qia stat""]",[],"Modular syndromic testing system for rapid molecular diagnostics. Respiratory, GI, meningitis panels.",Should not become generic device event unless actual use/result is stated
Novothor,machine,"[""Novathor"", ""Novothorr"", ""The Novator""]","[""NovoTHOR Device"", ""NovoTHOR Bed""]",Full-body red light / photobiomodulation therapy bed.,
Vielight Nasal,machine,"[""violin no thing"", ""VioLite nose"", ""naisal""]","[""Vielight nose light"", ""Vielight nose thing""]",Nasal applicator for red/NIR photobiomodulation therapy.,
Vielight Chest,machine,"[""VioLite chest piece"", ""VioLite chest""]","[""Vielight chest piece""]",Chest applicator for red/NIR photobiomodulation therapy.,
HUME scale,device,"[""human scale""]","[""hume"", ""Hume Scales"", ""Hume scale"", ""Body scale""]",Body weight and composition scale.,
Plaud,device,[],[],Wearable voice recording device.,
PHGG,intake,"[""p h g g""]","[""fiber powder"", ""fibre powder""]",Partially hydrolyzed guar gum. Prescribed prebiotic gut supplement.,Recurring gut supplement
Citrulline,intake,"[""circuit""]",[],Amino acid supplement for performance and circulation.,
Psyllium husk,intake,"[""selenium husk""]","[""Psyllium""]",Soluble fiber supplement.,
Oura Ring,device,"[""our fury"", ""ovary"", ""All women"", ""Aura"", ""order"", ""Oteria"", ""the order""]","[""oura"", ""Oura"", ""ring""]","Wearable ring tracker for sleep, HRV, and activity.",
nasopharyngeal prodromal pain,symptom,[],[],Gabriel's personal early warning sign. Pain or tickle at the junction of nasal cavity and throat. Precedes illness onset 90%+ of the time. Not a general sore throat.,
Circadin,intake,"[""circadine""]","[""Melatonin"", ""night pill""]",Prolonged-release melatonin medication for sleep.,
Glycine,intake,[],[],Amino acid supplement. Commonly taken for sleep support.,
craniosacral therapy,activity,"[""Cranial psychotherapist""]",[],Manual therapy technique. Gabriel receives sessions from a therapist.,
bowel frequency,symptom,[],"[""going to bathroom X times"", ""bathroom frequency""]",Number of bowel movements per day. High frequency (6+/day) is clinically significant.,
gas,symptom,[],"[""flatulence"", ""bloating"", ""gassy""]","Gas severity and frequency. Include timing if mentioned (e.g. after meals, overnight).",
abdominal pain,symptom,[],"[""stomach pain"", ""gut pain"", ""stomach ache"", ""belly pain""]",Pain or discomfort in the abdominal area.,
bowel urgency,symptom,[],"[""urgent bathroom"", ""running to toilet"", ""urgency""]",Sudden urgent need to defecate.,
stool consistency,symptom,"[""Stoll""]","[""stool quality"", ""soft stool"", ""loose stool"", ""stool mess"", ""sloppy stool""]",Quality and consistency of bowel movements. Capture user's own language.,
nocturia,symptom,"[""knocked her"", ""in nocturia"", ""had bacteria""]",[],Waking at night to urinate. Track number of bouts.,
HRV,measurement,"[""HIV"", ""interviews in the gutter""]",[],Heart rate variability. Device-tracked metric.,
Lion's Mane,intake,"[""lines main""]",[],Medicinal mushroom supplement.,
Cold-Eeze,intake,"[""cold easy""]",[],Zinc lozenge for cold symptom relief.,
TUDCA,intake,"[""tutka""]",[],Bile acid supplement for liver support.,
berberine,intake,"[""verbarin"", ""burpuring timing""]",[],Plant-derived supplement for blood sugar and metabolic support.,
Sumatriptan,intake,"[""Sumatran pen""]",[],Prescription migraine medication.,
Cerelle,intake,"[""Serrel""]",[],Progestogen-only contraceptive pill.,
Evorel patch,intake,"[""Everel patch""]",[],HRT estradiol patch.,
magnesium threonate,intake,"[""magnesium tyrannoate""]","[""Magtein"", ""Magnesium""]",Form of magnesium that crosses the blood-brain barrier.,
Dioralyte,intake,"[""dirolytes""]",[],Oral rehydration electrolyte sachets.,
Cetrotide,intake,"[""Ketrotide""]",[],GnRH antagonist used in fertility treatment.,
semaglutide,intake,"[""semiagglutate""]",[],GLP-1 receptor agonist medication.,
levothyroxine,intake,"[""levotroxine""]",[],Thyroid hormone replacement medication.,
NAD Plus,intake,"[""Nat Plus""]","[""NAD+""]",NAD+ infusion or supplement for cellular energy.,
KSM-66,intake,"[""KCM 63""]",[],Branded ashwagandha extract (full-spectrum root).,
Cronometer,other,"[""chronometer""]",[],Nutrition and calorie tracking app.,
phospholipid,intake,"[""fossil lipid""]",[],Lipid supplement for cell membrane support.,
sacroiliac joint,symptom,"[""sac joint""]",[],Joint connecting the sacrum to the iliac bone. Gabriel has recurring pain in this area.,
Hojicha,intake,"[""Hoji"", ""hoji isa""]","[""houjicha""]",Roasted Japanese green tea.,
Hevy,other,"[""heavy""]",[],Workout tracking app.,
PEMF device,machine,"[""ponds device"", ""ponds""]",[],Pulsed electromagnetic field therapy device.,
onsen,activity,"[""on sale"", ""Hansen"", ""nonsense"", ""on send"", ""unsent"", ""unsend"", ""onsin""]","[""onsen cycles"", ""hot tub + cold refresh""]",Japanese hot spring / hot bath session. Gabriel alternates with cold plunge.,
cold plunge,activity,"[""cold lunch"", ""cold flu"", ""called plunge"", ""call plunged"", ""cold clenched""]","[""head dunks""]",Cold water immersion session.,
blepharitis,symptom,"[""awful black arthritis""]",[],Inflammation of the eyelids. Gabriel has recurring episodes.,
viral wart,symptom,"[""viral work""]",[],HPV-caused wart.,
Lumen,device,[],"[""Lumen metabolic breath device"", ""lumen score""]",Metabolic breath testing device measuring CO2 to determine fat/carb burn.,
magnesium glycinate,intake,"[""magnesium glycid glycinate""]",[],Chelated magnesium supplement for sleep and relaxation.,
Withings scale,device,"[""Whiting scale""]",[],Smart body weight scale.,
